table,column,data_type,nullable,default,generated
academic_terms,end_date,date,False,,
academic_terms,id,bigint,False,,
academic_terms,name,text,False,,
academic_terms,start_date,date,False,,
bathroom_passes,classroom,text,True,,
bathroom_passes,created_at,timestamp with time zone,False,now(),
bathroom_passes,date_local,date,True,,public.to_local_date_toronto(timeout)
bathroom_passes,destination,text,True,,
bathroom_passes,duration_min,numeric,False,,"CASE
    WHEN ((timein IS NOT NULL) AND (timeout IS NOT NULL)) THEN (EXTRACT(epoch FROM (timein - timeout)) / 60.0)
    ELSE NULL::numeric
END"
bathroom_passes,id,uuid,False,gen_random_uuid(),
bathroom_passes,manual_adjust_min,numeric,True,,
bathroom_passes,manual_adjust_reason,text,True,,
bathroom_passes,notes,text,True,,
bathroom_passes,override_reason,text,True,,
bathroom_passes,overrode_period,boolean,False,false,
bathroom_passes,pass_status,text,False,,"CASE
    WHEN ((timein IS NULL) AND (timeout IS NOT NULL)) THEN 'out'::text
    WHEN (timein IS NOT NULL) THEN 'returned'::text
    ELSE 'draft'::text
END"
bathroom_passes,period,text,True,,
bathroom_passes,period_norm,text,True,,upper(TRIM(BOTH FROM period))
bathroom_passes,raw_student_name,text,True,,
bathroom_passes,student_id,uuid,True,,
bathroom_passes,student_name,text,True,,
bathroom_passes,timein,timestamp with time zone,True,,
bathroom_passes,timeout,timestamp with time zone,True,,
bathroom_passes,updated_at,timestamp with time zone,False,now(),
bathroom_passes,was_auto_closed,boolean,False,false,
Classroom_Arrivals,arrival_reason,text,True,,
classroom_arrivals,arrival_reason,text,True,,
Classroom_Arrivals,created_at,timestamp with time zone,False,now(),
classroom_arrivals,created_at,timestamp with time zone,False,now(),
Classroom_Arrivals,id,uuid,False,gen_random_uuid(),
classroom_arrivals,id,uuid,False,gen_random_uuid(),
Classroom_Arrivals,period,text,True,,
classroom_arrivals,period,text,False,,
Classroom_Arrivals,student_name,text,True,,
classroom_arrivals,student_name,text,False,,
Classroom_Arrivals,time_in,timestamp with time zone,True,now(),
classroom_arrivals,time_in,timestamp with time zone,False,now(),
classrooms,id,text,False,,
classrooms,teacher_email,text,True,,
courses,course_code,text,False,,
courses,course_name,text,True,,
courses,id,bigint,False,,
destinations,active,boolean,False,true,
destinations,name,text,False,,
destinations,sort,integer,False,100,
grades_normalized,avg_grade,"numeric(5,2)",False,,
grades_normalized,course,text,True,,
grades_normalized,student_key,text,False,,
grades_normalized,term,text,True,,
hall_pass_corrections,corrected_at,timestamp with time zone,True,now(),
hall_pass_corrections,corrected_by,text,True,,
hall_pass_corrections,corrected_duration,integer,False,,
hall_pass_corrections,corrected_reason,text,True,,
hall_pass_corrections,pass_id,uuid,False,,
hall_pass_destinations,active,boolean,False,true,
hall_pass_destinations,created_at,timestamp with time zone,False,now(),
hall_pass_destinations,key,text,False,,
hall_pass_destinations,label,text,False,,
hall_pass_destinations,synonyms,text[],False,'{}'::text[],
hall_pass_destinations,updated_at,timestamp with time zone,False,now(),
hall_passes,destination_id,bigint,False,,
hall_passes,id,bigint,False,,
hall_passes,issued_by,uuid,False,,
hall_passes,origin_id,bigint,False,,
hall_passes,status,public.pass_status,False,'ACTIVE'::public.pass_status,
hall_passes,student_id,uuid,False,,
hall_passes,time_in,timestamp with time zone,True,,
hall_passes,time_out,timestamp with time zone,False,now(),
Hall_Passes_deleted_backup,classroom,text,True,,
Hall_Passes_deleted_backup,destination,text,True,,
Hall_Passes_deleted_backup,id,uuid,True,,
Hall_Passes_deleted_backup,notes,text,True,,
Hall_Passes_deleted_backup,period,text,True,,
Hall_Passes_deleted_backup,studentId,uuid,True,,
Hall_Passes_deleted_backup,studentName,text,True,,
Hall_Passes_deleted_backup,timeIn,timestamp with time zone,True,,
Hall_Passes_deleted_backup,timeOut,timestamp with time zone,True,,
locations,id,bigint,False,,
locations,name,text,False,,
locations,type,public.location_type,True,,
locations,user_id,uuid,True,,
period_meta,end_local,time without time zone,True,,
period_meta,is_after_lunch,boolean,True,false,
period_meta,is_last_period,boolean,True,false,
period_meta,period,text,False,,
period_meta,start_local,time without time zone,True,,
rosters,academic_term_id,bigint,False,,
rosters,course_id,bigint,False,,
rosters,id,bigint,False,,
rosters,period_code,text,True,,
rosters,student_id,uuid,False,,
settings,description,text,True,,
settings,id,bigint,False,,
settings,setting_name,text,False,,
settings,value,text,True,,
student_name_synonyms,created_at,timestamp with time zone,False,now(),
student_name_synonyms,id,uuid,False,gen_random_uuid(),
student_name_synonyms,raw_input,text,False,,
student_name_synonyms,student_id,uuid,False,,
students,grade_level,integer,True,,
students,id,uuid,False,,
students,sis_id,text,True,,
users,email,text,False,,
users,first_name,text,False,,
users,id,uuid,False,gen_random_uuid(),
users,last_name,text,False,,
users,nickname,text,True,,
users,role,public.user_role,False,,
