table,constraint_type,name,columns,ref_table,ref_columns,on_delete,on_update
academic_terms,PRIMARY KEY,,id,,,,
bathroom_passes,FOREIGN KEY,fk_bathroom_passes_classroom,classroom,classrooms,id,,
bathroom_passes,PRIMARY KEY,,id,,,,
Classroom_Arrivals,PRIMARY KEY,,id,,,,
classroom_arrivals,PRIMARY KEY,,id,,,,
classrooms,PRIMARY KEY,,id,,,,
classrooms,UNIQUE,classrooms_teacher_email_key,teacher_email,,,,
courses,PRIMARY KEY,,id,,,,
destinations,PRIMARY KEY,,name,,,,
hall_pass_corrections,PRIMARY KEY,,pass_id,,,,
hall_pass_destinations,PRIMARY KEY,,key,,,,
hall_passes,FOREIGN KEY,hall_passes_destination_id_fkey,destination_id,locations,id,,
hall_passes,FOREIGN KEY,hall_passes_issued_by_fkey,issued_by,users,id,CASCADE,
hall_passes,FOREIGN KEY,hall_passes_origin_id_fkey,origin_id,locations,id,,
hall_passes,FOREIGN KEY,hall_passes_student_id_fkey,student_id,users,id,CASCADE,
hall_passes,PRIMARY KEY,,id,,,,
locations,FOREIGN KEY,locations_user_id_fkey,user_id,users,id,,
locations,PRIMARY KEY,,id,,,,
period_meta,PRIMARY KEY,,period,,,,
rosters,FOREIGN KEY,rosters_academic_term_id_fkey,academic_term_id,academic_terms,id,CASCADE,
rosters,FOREIGN KEY,rosters_course_id_fkey,course_id,courses,id,CASCADE,
rosters,FOREIGN KEY,rosters_student_id_fkey,student_id,users,id,CASCADE,
rosters,PRIMARY KEY,,id,,,,
settings,PRIMARY KEY,,id,,,,
settings,UNIQUE,settings_setting_name_key,setting_name,,,,
student_name_synonyms,PRIMARY KEY,,id,,,,
student_name_synonyms,UNIQUE,student_name_synonyms_raw_input_key,raw_input,,,,
students,FOREIGN KEY,students_id_fkey,id,users,id,CASCADE,
students,PRIMARY KEY,,id,,,,
users,PRIMARY KEY,,id,,,,
users,UNIQUE,users_email_key,email,,,,
